text,label
My Friends ampFellow AmericansJames Woods Rips Biden Calling Trump Voters Garbage Send This Worthless Fool Back His BasementBIDEN Clearly a LAME DUCKage has caught up with himAngry useless old man kicked to the curb by his Democratic Party BYE,Hate
Why do all maga bitches look the same,Hate
Bia Kicis apoia crtica de Elon Musk a Kamala Harris She is evil,Hate
SHE IS THE SICKEST MOST EVIL MOST HATEFUL DIVISIVE SATAN TO EVER TO HOLD OFFICE BIDEN IS EQUALLY ABYSMAL AS IS HIS WIFE OBAMAS WELL THEY ARE THE ICING ON THE CAKE WHAT A BUNCH OF HORRIFIC COMMUNIST stains ON OUR COUNTRY,Hate
We know Joe Biden loves molesting little kids but this Yikes,Hate
Iran my ass ITS THE U S GOVERNMENT THAT IS TRYING TO KILL DONALD TRUMP FUCK ALL DEMOCRATS AND RINOs FUCK SATAN,Hate
KAMALA HARRIS AND TIM WALZ ARE NOT GOOD PEOPLE THEY BOTH SUPPORT TRANSGENDER IDEOLOGY AND HOMOSEXUAL IDEOLOGY IN SCHOOLS AND MEN IN WOMENS SPORTS AND BATHROOMS THEY ARE REALLY HORRIBLE DISGUSTING PEOPLE,Hate
Biden sniffs children and takes money from China Kommiela sucks dck to move up in life and Trump is WINNING,Hate
Harris and brainless biden pulls the resources bc they gave it to ileagals and says if you cant provide for you kids durring this disaster then well take your kids instead of helping them Smh evil woman,Hate
The clown whistle during Kamalas speech rn is giving me life So very fitting so very intentional so very fuck HER,Hate
BidenHarris supporters that can dismiss these images and rationalize a genocide of brown people being done with their tax dollars are fucking disgusting people Zionism is a cancer Fuck you blue no matter who assholes,Hate
Im saving your tweets and Im going to laugh so hard in your face when you find out that the fluke was Donald Trump is a fucking LOSER and people who continually vote for this conman are morons and LOSERS Actually fucking braindead,Hate
Stop being a white supremacist boot licking Nazi loving MAGA,Hate
Yes Suck shit Donald Trump,Hate
So the reason they support Trump is Crystal Clear TRUMP IS NOT ONLY A RACIST HATEFUL PERSON SO ARE HIS SUPPORTERS THE OL SOUTH TRYING TO RISE AGAIN ONLY TO BE BITCH SLAPPED BACK BY KAMALA HARRIS WHAT WHAT BOOM,Hate
GET READY AMERICA BIDEN HARRISWALZ Kamala will spew PURE HONEY From both sides of its LYING MOUTH HOW SHE GOING TO FIGHT TO KILL BABES PLUS EVERYTHING SHE THINKS YOU WANT TO HEAREvery thing that she had almost years ago and should have done ALREADY,Hate
These lying Dems Anna administration even lied about the border numbers Its worse FUQ U Biden and Harris,Hate
Cackling Harris and Corrupt Biden And The Hate Filled LeftWing Loons Will Block Silence Commit Voter Fraud and Terrorize Anyone Who Threatens Them Time To Put A End To This Madness,Hate
Tim and Mike do you enjoy mostly going low and slow around serial tax cheat and adjudicated rapist Donald Trumps puckered orange sphincter or do you typically opt for a more frenzied approach during anilingus sessions Seeking GOP caucus consensus on this important topic,Hate
Kamala Harris doesnt love our country If she did she wouldnt have invited in million illegals who klled countless innocent Americans Kamala hates America,Hate
Who gave rights to AntiHindu olatas to bark against Hindu temples Our temples our rules Who is this sule maga naayi to bark,Hate
Harris will finish destroying America at job Biden was too weak mentally to accomplish Harris will bring in more illegals She supports illegals She supports the changing sex of children without parents knowledge She is a socialist dictator,Hate
We sure are it will be THE th PRESIDENT OF THE USA IS PRESIDENT DONALD J TRUMP Because us women want to be safe NOT MURDERED amp RAPED BY THE ILLEGALS KAMALA HARRIS LET IN,Hate
Obama is the Antichrist of American politics He started the decline of America his first day in office continued it with Puppet Biden in his Shadow Third Term and is looking to end it with Puppet Harris in his Shadow Fourth Term Vote Trump or live through Americas end days,Hate
Kamala and Biden work for billionaires and opened up the border for them Trump wanted to build a wall to control who comes in and you called him a fucking racist for it Sit this one out Michelle Or vote Trump,Hate
You have to ask yourself Donald Trump is a serial rapist Israel is obsessed with raping people Donald Trump is friends good friends with pedophile P Diddy and rapist who is Elon musk who theyre all part of Twitter or ex,Hate
Youre a fraud I hope taxes your assets on unrealized gains to poverty You fall racism but Biden always has said if you dont vote for me you aint black Congrats sheep,Hate
I knew Biden was always a zombie,Hate
This is why Biden Harris administration has just authorized the military to use deadly force against protesters they plan to murder citizens who protest the fascist democrat coup,Hate
Another Propaganda Troll speaking for millions in the UK who are NOT standing with or for convicted felon misogynist porn star shagging Klan and Nazi supported Donald Trump,Hate
She could shit on your chest and you would say its Amazing She is desperate and failing People are waking up to the product known as Kamala Harris,Hate
Says the brainwashed MAGA Trumper who supports presidential candidate Donald Trump who was once best friends with child rapist and sex trafficker of underage kids Jeffrey Epstein The same senile racist bigot who flew around in child rapist Epsteins private jet Your guy,Hate
Any account supporting Kamala Harris is either a Satanic pedophile blackmailed or bribed,Hate
This guy really wants to fuck joe biden,Hate
I love this so much Trump baby Kamala is a failed inept sad mama lama,Hate
MORE MURDERSRAPISTSBURGLERSTERRORISTS COMING TO YOUR TOWN COMPLIMENTS OF KAMALA HARRIS BORDER CZAR,Hate
Donald Trump told us that he wants to be a dictator for the purpose of getting revenge on his enemies He wished that his enemies would ROT IN HELL on CHRISTMAS DAY Donald Trump is the Divider in Chief,Hate
Donald Trump is a pathological liar He is a traitor to the people of America,Hate
i mean its either Donald trump satan or her a little better then biden,Hate
Donald Trumps wife speaks languages Mark speaks Kamalalalalala the language of retards,Hate
Oh fuck I am so sick and tired of white men or white boys who think they are superior and rule of the world I hope a giant Bird of paradise goes to Donald Trumps next rally and lets have a big piece of shit,Hate
Something tells me youve got your head so far up Harriss ass that you dont know the truth Bet your head was just as far up Bidens too Youre a fucking dumbacunt extreme You wouldnt know the truth if it slapped you in your face Brainless fucking dumbacunt at his finest,Hate
Shes a lesbian a bitter person against white fellas Thats why shes there and never gets replaced thats the Biden message Hes got his now pi on the rest of you white boys thats the real Joe Biden,Hate
WIDE OPEN BORDERSBIOLOGICAL MEN IN WOMEN SPORTS MAJOR INFLATION ENERGY POLICY DESTROYED ILLEGAL ALIENS GET MEDICALHOUSINGSS PAYMENTSFBI AT PTA MEETINGSUKRAINE LAUNDERING WARHIGH INTEREST RATES FOR HOUSINGWOKE Famp CRAP SHE HAS TAKEN OWNERSHIP FOR THE BIDEN YRS,Hate
I see I hit a nerve I love it when I embarrass a Lying MAGA with facts You all cant stand the truth Youre just another MAGA Weirdo Sucker You Fuck yourself Bye,Hate
The Biden are scumbags,Hate
You know its MAGA when they use the most feminine picture of a black man,Hate
You Kamala Harris refuse to acknowledge the pain and suffering you have caused so many American families insisting on illegal aliens come in and rape murder and sex traffic thousands of women How dare you,Hate
Biden is a sick satanic POS,Hate
KAMALA HARRIS AND TIM WALZ ARE BOTH IGNORANT SLUTS,Hate
Damn Biden is disgusting You dont do this to babies you dont know because its creepy as shit This pedo needs to go now,Hate
You are trying to be Hitler You are so full of hate and venom You are the one whos been saying you hated America you called Americans garbage you called Latinos garbage you called Jews garbage you called Democrats garbage Dont try pin this on Joe Biden,Hate
all rapist need to die including donald trump,Hate
Yall do know this is sounds stupid as hell in the real world Yall know women like sex too Donald Trump isnt Bill Gates Women threw themselves at him Just think a little use common sense,Hate
Melania is beautiful Jill Biden is not Theres really no comparison to Michael Obama because shes a man,Hate
Uh oh Whats going to happen to Kamala when Tim Walz has to drop out because hes a pedophile,Hate
also Donald Trump isnt the one in office committing genocide rn Kamala is,Hate
Human beings can be horrible It takes just one Donald Trump to prove the case for AI Covid million dead,Hate
I remember being middleclass through Trumps term and the one you auto piloted while telling nothing was wrong with Biden Middleclass had more purchasing power with Trump and we didnt worry about illegals killing our children either Kamala sucks,Hate
Who were the ones keeping black down in the south Guys like Robert Byrd Democeat and lifelomg friend of Joe Biden Its crazy how well the democrats have gaslit black people for all these years,Hate
Kamala Harris is truly retarded,Hate
I think this people are the ancestors of the migrants which Donald Trump accuses theyre eating dogs and chats of peoples who live in Springfield in USA the way they look they can eat human being,Hate
I followed because the insurrection on our Capitol caused and intended by the treasonous Donald Trump must be remembered He must face justice for his crimes That requires beating him putting him on trial and throwing him in gen pop for the rest of his life,Hate
So you think its ok to call the population trash not say hey Im sorry Trump waited day never has a president went so low hes not running so now you bare responsible Democrat voters are just as bad as Biden Actually worse he has mental issues garbage truck,Hate
Oh we will be saving America Saving it from the Reich Wing Government Of Putin Saving it from those lying traitorous saboteurs Get the RW GOP OUT of our government everywhere,Hate
Biden set a new record for police killing people of color Worse than trump Gave cops more money than trump too Sorry you cant bully me into voting for genocidal far right fascists pretending to be democrats Go ask all those Liz Cheney republican voters for help like Hillary,Hate
So we were called racist and anti immigrant for the last yrs We all knew we were getting screwed w jobs and crime But here we are in the US election cycle and Once Again Harris Biden and cronies are using their illegal alien army to try and steal our country from us,Hate
Every freaking day another MAGA child rapist pops up on my feed MAGA is truly a Cult that projects their crimes and sins on others,Hate
All lies propaganda shit made up by you TRANS MAGA CULT MEMBERS,Hate
Kamala Harris is not going to defend trans rights reinstate federally protected abortions or stop the genocide in Gaza She is also supporting mass deportations I dont think Trump is better and Kamala is not going to fix the things that are wrong rn under a democratic pres,Hate
I dont support Trump Ive never supported him and never will I also dont support those who are funding a current genocide If Netanyahu is so bad why is Biden capitulating everytime he needs something What happened to rafah being Bidens red line,Hate
Joe Biden is a pedophile a homewrecker a pervert a crook and a traitor Anyone that someone like him doesnt like is probably on the right track,Hate
The embargo on Cuba is just BidenHarris being cruel evil Nazis totally the same as Republicans Its comical that Democrats think they are good people What they are is selfish entitled zero selfawareness aholes who are okay with killing amp starving kids for their benefit,Hate
I have fought for many who have harmed other human beingsKamala Harris Yes We have a long list of American who were harmed and killed by your illegals Rachel Morin Jocelyn Nungaray Kayla Nobles Sonia Argentina Guzman Daniel Enrique The list goes on and on and Kamala,Hate
Wow This sums up MAGA pretty succinctly Shitty meme with false information posted proudly amp defiantly Followed by oh what I posted wasnt true but it will be so Im still right amp will forge ahead with my dumb meme bc Im a very stable genius w a YUGE micro penis,Hate
fuck you ASSHOLES Biden DID NOT HAVE A BAD DEBATE He had a really bad cold In fact he had the same type of cold I had which knocked me on my ass for DAYS The fact that he was able to make it to the debate feeling like SHIT says everything you need to,Hate
KAMALA HARRIS WANTS TO ADD HAMASINDOCTRINATED PALESTINIANSADD TO THAT ETHIOPIANS KAMALA HARRIS WILL DESTROY OUR AMERICAN WAY OF LIFE Kamala Harris Offers Amnesty to More than Ethiopians in US,Hate
You can go to Mar a Lago Bitch President Kamala Harris POTUS,Hate
They have been drooling over dreaming about using their Samson Option They are all about world dominance Palestine Lebanon Syria Iraq Egypt Saudi Arabia Turkey Biden is responsible for this Genocide Israel is US military base Sick sadistic vile barbaric evil,Hate
Worst Administrations of ObamaHillary Biden Terrorist Rafical Kamala and Trump the Dumbster who loved loving Terrorist Iran paid billions to make Atom bomb Arms Ammunition to destroy America Israel Arabsetc Crush Iran if u Can,Hate
The brick and mortar on the monument has a higher IQ than Biden and Kamala combined,Hate
Thats not fare I live in District home of Trump wanttobe Markwayne Mullin and wanttobe Markwayne Mullin Josh Brecheen home of MAGA Bullshit The Nations in District are whats keeping our heads above MAGA CULT Sewage,Hate
I like that he is an alpha male If he were gay receiving and giving up the ass then it wouldnt be all right thatd be a big problem are if hed like sleepy poor Biden old pedophile like little kids,Hate
Gee Doctor Nick that sounds like crazy talk from some ass sniffing Trump cult member to me But as they say you do you,Hate
Im calling on all of Donald Trumps nasty disgusting diseaseinfested Hitlerloving supporters to knock it off Biden Calls On Deplorable Garbage Nazis To Tone Down The Rhetoric via,Hate
If you want another million illegal aliens raping and murdering our people and taking millions of jobs from our people and bankrupting our social services and healthcare systems then Kamala is your gal Only uninformed people with blinders on would vote for Kamala Harris,Hate
Think about all the women raped murdered and sex trafficked by illegal aliens that Kamala let in Neither she nor Biden called any of the families Trump will again secure the border and imprison criminals Thats the future you should consider for your children,Hate
I think Trump and the other MAGA leaders have credible blackmail worthy evidence like porn videos against the conservative Supreme Court judges they appointed to keep them in line Clarence Thomas the crook is definately kept on a short leash held by his racist wife Ginni,Hate
Democrats endgame strategy Trumps literally Hitler amp half of the country are Nazis,Hate
Or that Joe Bidens been a vegetable for two years,Hate
Actually all she has to do is not be senile like Biden or an insane weird criminal authoritarian like Trump Very low bar,Hate
He thinks we are scum and garbage Im sick of both Biden and Harris putting us last They prefer illegals and other countries We are treated like peasants,Hate
the only weak stupid women i know are kamala harris and mark cuban,Hate
Well I see a lot of X posts saying Biden was right the first time So I dont accept their explanation And anyone who says that I just block as worthless leftist scum,Hate
What would Putin prefer to go up against hard assDonald Trump or on your knees Kamala Harris,Hate
Sinner Or more correctly a fake Christian A real Christian would not judge others by their physical appearance Thats why maga womens ugliness always eventually shows through,Hate
It doesnt matter what you say and they should just admit they dont like black women and that their mediocre selves feel inadequate around accomplished women They are basically black maga and realizing that just having male parts doesnt make them special anymore,Hate
The fact that the Democrats are committing the worst war crimes any of us have ever seen and Donald Trump is promising worse That means that sanity has already lost and the extreme right has already won You just dont realize that they control both parties Wake up,Hate
Looks like the Trumpie slug fucked around and found out,Hate
So MAGA nuts will wear masks to hide their faces because theyre cowards and its part of their nazi uniform I like how they brought back the tan pants very tiki torch nazi march but wearing a mask during covid was beta,Hate
Blacks for Trump is another lie Trump made up lol Kamala Harris will get Another black job Black ancestors didnt fight struggle and die to put a racist sexist felon liar in office,Hate
Bitch none of your old administration backs you They all say youre unfit What happened to your VP Pence They have endorsed Kamala Harris They know you shouldnt even be running for this position again You are trash garbage an ungrateful hateful little weak man,Hate
He handled it well I would have called biden the true cock sucker he is,Hate
Here a question for all you assholes who support Biden and the rest of that clown show What have you got against Making America Great Again Precisely Ive never seen one of you dickheads put forth any policy issues that would be better than what DJT proposes,Hate
You are garbage if you sit and laugh while men vetted by trump call Puerto Rico a garbage island mock Jews blacks and Mexicans and a presidential nominee a cunt President Biden was correct Jim But you sat silent when young men were sexually assaulted,Hate
Funny ppl dont seem to hear Trump when he says America is a garbage dump Hispanics that are coming here are rapist criminals and low lifes but yeah what Biden said was soooo worse Please,Hate
Never forget that joe biden is a child predator The world is acting just like Pharaohs did They fear the plagues but they dont fear GOD Big mistake,Hate
Fascist Trump says he wants to use Penn State MAGA moron wrestlers as vigilantes,Hate
The DeMS Clinton Podesta pizzagate Obama and Mike Biden sniffing kids Biden showering with his teen daughter Obama creepy hugging little girl at her crotch in the white house Homosexual intercourse in the senate Pelosi husband and gay prostitute Walz pedo Yeah,Hate
Im tired of stupid analogies Did Sistani issue the religious verdict to stop violence against Jews If you arent laughing now you are probably sleeping No then He is complicit Same as Pop would be if he represented ideology that calls Biden to genocide Jews,Hate
How racist Young Thug aint doing nothing that Kamala Harris massive army of illegal immigrant criminals arent doing at the request of the US Democrat Party,Hate
A vote for Donald Trump is a vote against women especially against women of color Against your grandmother mother aunt sister and daughter Against decency and democracy,Hate
Since Kamala Harris slept her way into an official position we know who she works for,Hate
He puts Israel first and they are the terrorists you support the maga cult so you are also a terrorist Country of God More like country of gender confusion and lgbt you satanic coward,Hate
Kamala Harris Biden and the rest of the Democrats are directly responsible for the brutal death of this innocent yr old girl How the hell can people vote for more of this What if it were your child your mother or any other of member of your family Would you vote Harris,Hate
Lets be clear Jeff Bezos is not only a coward he is now Trumps little bitch He better hope Kamala Harris wins,Hate
When Kamala calls Donald Trump Hitler What she really means is Will somebody please shoot him,Hate
Good for Biden Always be prepared for the Domestic Terrorist sometimes referred to as Trump Supporters,Hate
ALL THAT BITCH KAMALA HARRIS IS A LYING SON OF A BITCH THATS ALL SHE KNOWS HOW TO LIE AND KACKLE LIKE A WITCH THAT SHE IS WHY DONT YOU FLY YOUR BOOMSTICK HALLOWEEN IS ALMOST THERE PRESIDENT TRUMP IS BY GOD TO SAVE US NOT TO HARM US LIKE YOU AND BIDEN MY VOTE IS TRUMP,Hate
Because Joe Biden and most Democrats are raging racist pedophiles who believe black people arent black who dont vote for them and shower with their underaged daughter,Hate
Biden surrounded himself with weak women and men who thought they were women but its DJ Trump that has a problem with women,Hate
now that he found out that Trumpists hate Latinos Lol Latinos being Maga are worse than Trump himself,Hate
Tony H Theres a pile of trash in the middle of the ocean Its called Puerto Rico MAGA response You really need to learn how to take a Joke Get over it Biden The only garbage I see out there are his Trumps supporters MAGA response How dare you call us garbage,Hate
Donald Trump will win Our Family voted last week Kamala wants transgender tax payer paid surgery I voted against transgender sex change for children or anyone I voted against killing babies up to birth by abortion I vote for deporting illegals taking tax payer money Etc,Hate
Fox News Biden has an age issue,Hate
