text,label
Joe Biden called us garbage as Trump supporters So Trump did a press conference from a garbage truck Ultimate Troll,2
The pheasants could hear that clown show on the march and took off faster than Biden heading to an all you can eat ice cream feast at a daycare,2
The greatest incompetence of all is you Mr Donald Trump,2
a naked dwarf pygmy went on a rampage in New York City assaulting people with a metal pole and destroying property Kamala Harris Garbage Recycling America,0
An unhinged Biden wonders why he was removed from the DEM ticket You got your ass kicked in the debate LOSER,2
Shes correct The Harris Biden day one border policy failures,2
Trump epically trolls Biden as he pulls up in a garbage truck How do you like my garbage truck This truck is in honor of Kamala and Joe Biden,1
She watched and lied about Biden cognitive decline get your head out of the sand She could have voiced her opinion at any time and she didnt she is a follower an order taker Look in the mirror she locked up people that looked just like you in the thousands One mom,2
Biden embraced you amp the Israeli people immediately after The least you can do for him is to stop the killing in Gaza until after the election We all know you want Trump to win but dont you owe Biden some loyalty for standing by you Come on,2
finally admits she is Joe Biden after all,1
Obama looks talks and thinks like hes covered in rust Joe Biden definitely isnt the only one in decline even if its a lot more dramatic in his case,2
Just got a text from the registrar of voters that told me my ballot was received and counted Heres to eight years of President Kamala Harris VP Tim Walz and a Democratic Senate and Congress And California I sg if you dont pass Prop,1
WHEN PRESIDENT ELECT KAMALA HARRIS AND VICE PRESIDENT ELECT TIM WALZ WIN GET DONALD TRUMP BACK TOO NEW YORK YOU ARE A FELON DONALD TRUMP PUT IN PRISION,2
Kamala is responsible for Biden calling the majority of Americans garbage She did after all lie about Joes mental competence Everything else you mentioned she stole from Trump or Vance they have sent her a MAGA hat She even voted against child tax credit as a senator,2
Simply shows how little those prizes mean and how much theyve been corrupted None of those first three did anything except hold political positions academia agreed with Not even that Kamala and Biden dont hold any positions they just facilitated the left position,1
Birds of a feather flock together The party of certified genii Biden Harris Walz Cuban AOC,1
Source Most MAGA muppets dont bring receipts,2
days before the election Thats so funny lol its a little late dont ya think man If they can convince you to vote for one over the other in the last days because of off of gas well thats a gullible voter and Kamala Harris still couldnt convince them to vote,2
One was a Joke by a comedian Biden actually called Trump supporters garbage Get a clue Geraldo,2
Ironic part is Asheville is the BerkleyAustin of NC Voted to for Biden They even screw their own,1
Look at how Forbes is spinning Bidens baby bite Shame on for covering for this ped,2
"Cry about it, loser. Say hi to your granddaughter once in a while instead of being a DNC shill",0
Video Kamala Harris rally crowd is completely stumped after she tells them to all start shouting their own namesThe moment came after the crowd started a Kamala chantHarris Now I want you to all shout your own names do thatCrowd Awkward silence,1
YES the Biden Administration leaks like a sieve with an hour of any Israeli plan to attack Iran being given to the US it would be on the desk of officials in the Iranian Government,2
DONALD TRUMP IS CLINICALLY PROLIFICALLY OBTUSELY DUMB STUPID DISTURBED WE ALL KNOW THAT DONALD TRUMP IS AN EXISTENTIAL PROLIFIC THREATWE ALL KNOW THAT DONALD TRUMP IS PHYSICALLY MENTALLY UNFIT TO LEAD THUS NATION WE ALL KNOW THAT,2
The airwaves are littered with failed right ring politicians peddling conspiracy theories or writing works of fiction masquerading as a memoir When theyre not doing that theyre creeping up the arse Donald Trump and the lunatic fringe of American politics,2
Here we go more lies its not Donald Trumps project He said he hasnt even read it and last I checked the authors of that support you Can you stop telling lies long enough to lose the election,2
LOLLLL UH NOOOO TRUMP IS WAY AHEAD OF HARRIS The people are fed up with the Biden Harris machine They did nothing for the people Democrats are voting for Trump green party members are voting for Trump Independent voters are voting for Trump and Republicans are voting for,1
Repeat after me Biden amp Harris had years in office and fukked everything up,2
He is an absolute candy ass Now according to Biden We are all garbage I love my fellow family members referred to as garbage,2
Bidens divisive rhetoric didnt sit well with hardworking patriots like Leo who felt disrespected Riding in a garbage truck Trump underscored the value of everyday Americans Maybe Biden can take a ride with Leo to apologize come January With GREAT presale,2
Donald Trump will still emerge victorious,1
Yeah That must be it Joe Rogan is skeerd of interviewing Kamala Harris,2
Youre voting for Kamala Harris and you call other people fake Holy shit,2
Uh The BidenHarris administration did nada about the supposed threat of Trump to democracy when it could have been useful,2
Senior adviser to Kamala Harris At least we know who to blame for blowing a billion dollars just to lose to Trump,2
If Biden is fit Trump is fit,1
No it doesnt is just a Propaganda Machine for the Democratic Party Trump is going to win Trump,2
Some Republicans now are trying to counter their prior lies about the government and the BidenHarris Administration,2
My common sense After I saw them conspire with Pelosi Schiff etc al to push Biden out and then that whole demure pictures debacle I said deuces to msm,2
Funny enough I live in Wilmington DE right down the street from where Biden lives and outside the entrance to his neighborhood there are Trump signs,1
I wish But biden voice cmon man,1
RFK Jr is a drugaddled nepobaby with a history of sexual and various other weird scandals If he had actually won the Dem primary youd lambast him as the Kennedy version of Hunter Biden but he lost and traded his endorsement for a cabinet post so now hes a conservative hero,2
what dont you understand Its now a state issue Donald Trump has no plan to ban abortions Your gaslighting and lying is not a good look It reeks of desperation,2
Jill Biden appointed the FEMA director just like the USSS director,1
And Biden didnt do shit either Whats your point,2
Technically biden got zero super delegates votes because he stepped down before the DNC VP Harris however got,1
fuck you ASSHOLES Biden DID NOT HAVE A BAD DEBATE He had a really bad cold In fact he had the same type of cold I had which knocked me on my ass for DAYS The fact that he was able to make it to the debate feeling like SHIT says everything you need to,0
Conservative Democrat here,1
Bullshit cuz Ive consistently said keep it factual Claiming without evidence that Biden isnt President and Kamala Harris is a puppeteer of him behind the scenes is literally a Trump talking point,2
Quite literally why my entire house voted for Donald Trump We voted for the TEAM he surrounded himself with,1
All lies propaganda shit made up by you TRANS MAGA CULT MEMBERS,0
Trump will bring family separation policies Are you serious right now migrant children are missing from the border under BidenHarris and you think Trump will cause separation Give me a break Remember Kamala said she wouldnt change one thing Joe did,2
sad but true even if win WH amp Congress they will still be submissive to GOP on every policies amp laws if Project is what GOP wants DEM should use some of the tactics in P to stop Trump let GOP get a taste of their own plan but DEM doesnt have the balls,2
Rep Mast Thank you for getting the truth out about the evil of the UNRWA and who they really are TRUMP,1
Way off base Biden added just over T Trump Over T Do your homework,1
Correction were bussed in for Kamala Harris,1
It added border agents Mitch McConnell literally said the bill was going to pass until trump said kill the bill I dont want Biden to have a win Theres an actual video of him saying this,1
He was released with K bail They want Trump dead,2
The vibecession is indeed a great example It demonstrates how as GOP radicalized against democracy media capitulated First signs were euphemisms like economic anxiety and now sloganeering vibecession to account for our malaise and mismanagement of info space,1
And close friend of Donald Trump,1
If I was an American I would have been pro Harris but as a Ukrainian Im pro Trump I dont think Harris can somehow resolve our situation hereits just more the same as Biden but Trump may be chaotic so its better for us,1
This is an outrage The BidenHarris administration is forcing Habba to do podcasts rather than helping look for lost children What next,2
You cannot EVER use are where garbage is the subject of a sentence Its an uncountable noun like furniture sunlight etc You can only ever use is The trick is that the supporters only becomes singular possessive after Biden begins the next sentence with his,1
You are garbage if you sit and laugh while men vetted by trump call Puerto Rico a garbage island mock Jews blacks and Mexicans and a presidential nominee a cunt President Biden was correct Jim But you sat silent when young men were sexually assaulted,0
In Donald Trumps father was arrested after a Klan riot in Queens,1
Will Biden and Kamala Harris support a government decapitation in Iran,1
Biden literally fell off a bike,1
Compare that to where the BC Liberals were in Theyd just lost massively They had no distinct vision from the BC NDP and just followed their lead on everything The left set the agenda and there wasnt a real conservative option in the province,1
No surprise you would stick up for that Scumbag Michigan has no integrity or class They think the rules dont apply to them We really shouldnt be shocked Its Michigan Now they will try and play the victims Remember these people voted for Biden and Harris,2
No sniffing Joey,2
Please provide the specific authority VP Kamala Harris was given in order to justify your statement that Harris herself sent the bombs Crucially no such authority is given to her by the US Constitution,1
Its just one in a sea of examples showing why we believe Trump is unfit for a second term in the White House and why this editorial board endorses Kamala Harris for president of the United States,2
Either you are stupid or dishonest but I have seen the early voting numbers and you are getting creamed Biden may have just taken away your last hope of getting your base energized,2
I would go further back to Bill Clinton then George Bush Jr then Barack Obama and now Joe Biden The only president who wasnt against Americans was Donald Trump These other guys sold out America to China and Europe like a cheap whore,2
If the American auto workers of Detroit and Dearborn do not elect Donald Trump they deserve whatever disaster she brings them Its that simple This is the last chance for Michigan really,2
Minutes asks Harris whether it was a mistake for Biden admin to go soft on border VP repeatedly dodges Source Fox News,1
I submit in VP Harris closing remarks she point out th lied when he said if he did not win theelection against President Biden the American ppl will not have a countryWell we do still have a country and th made sure of it,1
yeah but Tiny Timmy Tampon stood behind Bidens comments and Kameltoe didnt condemn what Biden said so until they both do that they cant take the moral high ground,2
Jennifer Lopez Will Speak Perform at Kamala Harris Rally in Nevada,1
If you thought live under Joe Biden was a nightmare wait until either Trump or Harris become President of the Divided States of Israelamerica You are on the path of a rude awakening In the meantime enjoy voting and believing lol,2
Kamala Harris said that if she wins she will make curry chicken for everyone in America,1
Trump just TROLLED the Fuck Out of BidenHarris Trump just proved he can do the dirty work,2
Is that clear enough Shes not Joe Biden or Donald Trump,1
You are obsessed with Donald Trump Ill bet you secretly vote for him,1
Racists are all garbage Yall been saying Fuck Biden fot years,2
MAGA Cult Minion Talks Herself From A Year Sentence Into A Year Sentence For Her Leader Youre a charlatan Judge sentences defiant Tina Peters to years Full video,2
Yay got that wrong you muppet her boss Biden said that there was no problem with Florida You muppets just spew nonsense that some one tells you,2
oh do you mean like Biden didnt say that Trump supporters were garbage AND YET TRUMP AND ALL OF HIS CRONIES blasted out an edit of the video and insisted that he did At this point turnabout is fair play TRUMP HAS NO SCRUPLES and women dont wantneed HIS protection,2
Thats what Biden said blacks werent smart enough to know how to get an id,2
Imagine the government putting in jail one of their enemies That is what the Biden DOJ did,2
My children I am Latina and I am sure that Kamala Harris and Joe Biden made that executive order to tear me apart because I am Latina and because I am a woman,2
AMEN IN GOD ALONE WE TRUST to ALLOW IN ALL HIS SOVEREIGNTY Donald Trump to be our next President,1
Kamala Harris should go on the podcast,1
Joe Biden is sick He needs professional help,2
The Hungarian prime minister VIKTOR ORBAN has said he will open several bottles of champagne if DONALD TRUMP returns to the White House next month underscoring his differences with mainstream European misleaders,1
we have you on record calling biden as the next president,1
correct Without massive censorship and media collusion wed never have had the COVID lockdowns George Floyd riots suppression of the Hunter Biden laptop etc Just shows the power of free speech,1
Terminate the Constitution Even Democrats that have followed Trump last years know THATS not true has always been Kamala is more of the last years gt,1
Opinion Kamala Harriss corporate tax hike would hurt innovation American workers Source The Hill,1
Dems didnt get to vote for Harris in the primariesand therefore shes not a legit candidate BULL When WE VOTED FOR BIDEN in WE VOTED FOR whatever decisions he would makeINCLUDING his ultimate choice to pass the ball to Harris AND WE VOTED FOR to be next at bat,2
Im honored to see Elon Musk with Donald Trump saving America from the most disgusting catastrophic economy and bankruptcy economy collapsed right now Democrats using America taxpayers money Vin FCK Ukraine and Israel war America looks like Haiti country,2
